condition,comparison,comparison_label,metric,metric_class,subset_label,n_proposals,human_metric_mean,ai_metric_mean,effect_human_minus_ai_mean,effect_human_minus_ai_median,ai_to_human_ratio_mean,wilcoxon_statistic,p_value,paired_rank_biserial
one_at_a_time,gpt,GPT,global_centroid_dist,exploratory,all_proposals,23,0.012411505090509941,0.003268424537862111,0.009143080552647828,0.008149758694249418,0.2633382908863492,0.0,2.384185791015625e-07,1.0
one_at_a_time,gpt,GPT,mean_pairwise,confirmatory,all_proposals,23,0.03428666600282641,0.009086603444555533,0.025200062558270883,0.02327974637349447,0.2650185773036807,0.0,2.384185791015625e-07,1.0
one_at_a_time,gpt,GPT,medoid_dist,exploratory,all_proposals,23,0.021505114090615424,0.0059541694495988924,0.015550944641016529,0.013845954338709514,0.27687225580436337,0.0,2.384185791015625e-07,1.0
one_at_a_time,gpt,GPT,mst_dispersion,exploratory,all_proposals,23,0.0290761088979417,0.00818105499813522,0.02089505389980648,0.01941697895526886,0.2813669128441859,0.0,2.384185791015625e-07,1.0
one_at_a_time,gpt,GPT,nn,confirmatory,all_proposals,23,0.02747538275476815,0.007946918364884198,0.019528464389883954,0.017397135496139526,0.28923776734302525,0.0,2.384185791015625e-07,1.0
one_at_a_time,gpt,GPT,remote_clique,compatibility,all_proposals,23,0.03428666600282641,0.009086603444555533,0.025200062558270883,0.02327974637349447,0.2650185773036807,0.0,2.384185791015625e-07,1.0
one_at_a_time,gpt,GPT,span90,exploratory,all_proposals,23,0.01560539712572962,0.0037431889272153997,0.011862208198514216,0.011331793573579128,0.23986502214953337,0.0,2.384185791015625e-07,1.0
one_at_a_time,gpt,GPT,sparseness,exploratory,all_proposals,23,0.012411505090509941,0.003268424537862111,0.009143080552647828,0.008149758694249418,0.2633382908863492,0.0,2.384185791015625e-07,1.0
one_at_a_time,all_ai,All AI,centroid_loo,exploratory,human_n_gte_3,22,0.0241060562107039,0.014119366556073515,0.009986689654630388,0.009493064122044629,0.5857186440063158,0.0,4.76837158203125e-07,1.0
one_at_a_time,all_ai,All AI,global_centroid_dist,exploratory,human_n_gte_3,22,0.012672461732246277,0.007475625255919469,0.005196836476326808,0.004441587262452426,0.5899110538954743,0.0,4.76837158203125e-07,1.0
one_at_a_time,all_ai,All AI,mean_pairwise,confirmatory,human_n_gte_3,22,0.03463639571811213,0.020427699522538614,0.01420869619557352,0.01320412896928333,0.5897755554241032,0.0,4.76837158203125e-07,1.0
one_at_a_time,all_ai,All AI,medoid_dist,exploratory,human_n_gte_3,22,0.021878241725040205,0.01282413092633884,0.009054110798701363,0.007706666533108598,0.5861591204407115,0.0,4.76837158203125e-07,1.0
one_at_a_time,all_ai,All AI,mst_dispersion,exploratory,human_n_gte_3,22,0.029188995108459934,0.016653264726128162,0.012535730382331772,0.011433341924524132,0.5705323072701978,0.0,4.76837158203125e-07,1.0
one_at_a_time,all_ai,All AI,nn,confirmatory,human_n_gte_3,22,0.027515508686051224,0.015070790702899045,0.012444717983152177,0.010890616192704157,0.5477198649988639,0.0,4.76837158203125e-07,1.0
one_at_a_time,all_ai,All AI,remote_clique,compatibility,human_n_gte_3,22,0.03463639571811213,0.020427699522538614,0.01420869619557352,0.01320412896928333,0.5897755554241032,0.0,4.76837158203125e-07,1.0
one_at_a_time,all_ai,All AI,span90,exploratory,human_n_gte_3,22,0.01601153067815776,0.009561972734659422,0.006449557943498333,0.006023408305775604,0.5971929184574123,7.0,9.059906005859375e-06,0.7272727272727273
one_at_a_time,all_ai,All AI,sparseness,exploratory,human_n_gte_3,22,0.012672461732246277,0.007475625255919469,0.005196836476326808,0.004441587262452426,0.5899110538954743,0.0,4.76837158203125e-07,1.0
one_at_a_time,claude,Claude,centroid_loo,exploratory,human_n_gte_3,22,0.0241060562107039,0.008096586790669753,0.016009469420034155,0.015497453039580267,0.3358735547573558,0.0,4.76837158203125e-07,1.0
one_at_a_time,claude,Claude,global_centroid_dist,exploratory,human_n_gte_3,22,0.012672461732246277,0.004301806702820393,0.008370655029425885,0.008343920246218856,0.33946101347254726,0.0,4.76837158203125e-07,1.0
one_at_a_time,claude,Claude,mean_pairwise,confirmatory,human_n_gte_3,22,0.03463639571811213,0.011755945465781474,0.022880450252330667,0.022992215553919473,0.33941018463517647,0.0,4.76837158203125e-07,1.0
one_at_a_time,claude,Claude,medoid_dist,exploratory,human_n_gte_3,22,0.021878241725040205,0.007692632440364722,0.014185609284675483,0.01378974715868632,0.35161109092054266,0.0,4.76837158203125e-07,1.0
one_at_a_time,claude,Claude,mst_dispersion,exploratory,human_n_gte_3,22,0.029188995108459934,0.010332947563041341,0.018856047545418593,0.018806729714075723,0.35400148325238207,0.0,4.76837158203125e-07,1.0
one_at_a_time,claude,Claude,nn,confirmatory,human_n_gte_3,22,0.027515508686051224,0.009992992787650135,0.01752251589840109,0.017767665286858875,0.36317674158486507,0.0,4.76837158203125e-07,1.0
